ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area 
8459,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,923.002,1233.16,2156.162,0
8460,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,30582.189,12839.172,43421.361,292.576
8461,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,2804.045,853.414,3657.459,7.201
8462,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
8463,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,1080.526,889.1,1969.626,7.137
8464,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,398.901,130.465,529.366,0.048
8465,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
8466,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,199.635,103.124,302.759,0
8467,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,31.935,44.584,76.519,8.824
8468,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,124.618,124.618,0.803
8469,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,44.239,34.729,78.968,0
8470,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,3226.833,967.015,4193.848,10.609
8471,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,904.1,799.898,1703.998,7.691
8472,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
8473,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,699.817,1523.017,2222.834,37.308
8474,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,570.939,886.184,1457.123,36.431
8475,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
8476,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,126.632,167.508,294.14,111.904
8477,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,42.302,56.1,98.402,1.274
8478,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,12.915,81.298,94.213,0.209
8479,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,9.178,0,9.178,0
8480,India,10,Bihar,190,Banka,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,1813.366,609.232,2422.598,36.295
8481,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,66.016,0,66.016,0
8482,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,88.972,6.423,95.395,0
8483,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,83.281,0,83.281,0
8484,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,98.264,1.763,100.027,0.122
8485,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,60.579,0,60.579,0
8486,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,134.026,0,134.026,0
8487,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,67.905,0,67.905,0.471
8488,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,70.122,0,70.122,0.78
8489,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,105.32,0,105.32,0
8490,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,190.485,0.053,190.538,0.57
8491,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,29067.44,725.553,29792.993,495.235
8492,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,1399.154,42.738,1441.892,0.09
8493,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,13147.876,9300.815,22448.691,385.33
8494,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,5500.492,3995.657,9496.149,181.641
8495,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,534.412,0,534.412,0
8496,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,4713.018,529.722,5242.74,130.047
8497,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,2543.121,136.314,2679.435,0
8498,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,2835.081,63.298,2898.379,0.073
8499,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,1605.518,58.036,1663.554,0
8500,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,40083.586,1154.719,41238.305,579.57
8501,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,3117.38,242.771,3360.151,38.559
8502,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,23.411,0,23.411,0
8503,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,970.823,3.866,974.689,4.503
8504,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,53.768,0,53.768,0.665
8505,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
8506,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,6.96,0,6.96,0
8507,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,25.713,0,25.713,0
8508,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0
8509,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,8.567,0,8.567,0
8510,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,4926.305,137.596,5063.901,93.692
8511,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0
8512,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
8513,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0
8514,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0
8515,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
8516,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0
8517,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0
8518,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0
8519,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
8520,India,10,Bihar,191,Begusarai,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0
8521,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,59.047,23.076,82.123,0
8522,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0
8523,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,40.485,29.033,69.518,0
8524,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,0,0
8525,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0
8526,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,0,0
8527,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0
8528,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0
8529,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,0,0
8530,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,162.608,15.385,177.993,0
8531,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,40588.536,5878.563,46467.099,927.953
8532,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,40,120,160,0
8533,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,9882.251,7319.396,17201.647,327.733
8534,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,2843.595,2981.442,5825.037,54.526
8535,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0
8536,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,671.188,359.553,1030.741,23.512
8537,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,298.946,301.941,600.887,2.206
8538,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,0,0
8539,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,0,0
8540,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,46385.627,7034.961,53420.588,555.855
8541,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,2319.079,656.877,2975.956,314.443
8542,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
8543,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,732.191,169.083,901.274,34.428
8544,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0
8545,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
8546,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0
8547,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0
8548,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0
8549,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
8550,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,5151.612,1061.413,6213.025,45.457
8551,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,1390.566,206.856,1597.422,125.198
8552,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
8553,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,146.972,62.4,209.372,14.121
8554,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,6.6,0,6.6,0
8555,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
8556,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0
8557,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0
8558,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0
8559,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
8560,India,10,Bihar,192,Bhagalpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,3038.574,701.833,3740.407,39.89
8561,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,49.838,2.767,52.605,0.809
8562,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,42.046,12.777,54.823,17.934
8563,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,114.082,1.235,115.317,2.675
8564,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,91.792,7.203,98.995,0.785
8565,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,51.769,0,51.769,0
8566,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,25.476,11.015,36.491,1
8567,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,47.297,0,47.297,2.674
8568,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,48.907,0,48.907,0.604
8569,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,43.022,2.051,45.073,0.579
8570,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,96.689,15.561,112.25,0.857
8571,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,30884.601,2264.858,33149.459,2130.471
8572,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,1298.132,109.725,1407.857,193.048
8573,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,17890.327,10933.078,28823.405,1908.165
8574,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,13242.558,6568.362,19810.92,1294.926
8575,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,151.465,28.426,179.891,2.317
8576,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,10431.709,2024.581,12456.29,1025.066
8577,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,6376.35,496.471,6872.821,531.343
8578,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,7802.654,817.99,8620.644,756.917
8579,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,3835.84,197.528,4033.368,349.974
8580,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,45517.969,3631.998,49149.967,2515.974
8581,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,4227.988,71.979,4299.967,107.928
8582,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,14.972,0,14.972,0
8583,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,1716.014,62.987,1779.001,90.633
8584,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,446.397,159.741,606.138,11.188
8585,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
8586,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,42.606,484.695,527.301,11.294
8587,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,12.004,0.122,12.126,0.866
8588,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,6.769,0,6.769,0
8589,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
8590,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,4239.021,321.098,4560.119,189.841
8591,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,38.576,3.335,41.911,1.247
8592,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
8593,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,23.279,0,23.279,0
8594,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,17.777,0,17.777,0
8595,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
8596,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,12.916,0.713,13.629,2.655
8597,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0
8598,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0
8599,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
8600,India,10,Bihar,193,Bhojpur,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,39.017,4.265,43.282,1.382
8601,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,43.015,2.551,45.566,0.066
8602,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,24.049,0,24.049,0
8603,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,114.354,1.735,116.089,0
8604,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,70.906,15.065,85.971,0
8605,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,24.814,24.814,0
8606,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,39.061,14.457,53.518,0
8607,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,46.501,0,46.501,0
8608,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,48.607,0,48.607,0
8609,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,35.255,0,35.255,0
8610,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,31.853,1.254,33.107,0
8611,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,21752.199,1592.188,23344.387,340.035
8612,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,1654.581,97.177,1751.758,54.891
8613,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,19702.843,11046.243,30749.086,614.403
8614,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,20550.465,5772.272,26322.737,474.783
8615,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,302.352,0,302.352,0
8616,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,9736.239,961.813,10698.052,148.994
8617,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,4554.341,139.731,4694.072,94.787
8618,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,3735.064,131.001,3866.065,62.325
8619,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,2709.884,113.512,2823.396,60.468
8620,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,34466.532,1328.823,35795.355,361.106
8621,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,631.366,24.073,655.439,6.425
8622,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
8623,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,274.534,96.209,370.743,18.792
8624,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,187.276,0,187.276,0
8625,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
8626,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,28.316,0,28.316,0
8627,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,4.308,0,4.308,0
8628,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,22.325,0,22.325,0
8629,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
8630,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,1148.676,16.929,1165.605,3.414
8631,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,134.015,21.084,155.099,0
8632,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
8633,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,53.717,0,53.717,0
8634,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0
8635,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
8636,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0
8637,India,10,Bihar,194,Buxar,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0
